apt,enplanements,name,lat,lon
ATL,45308685,HARTSFIELD - JACKSON ATLANTA INTL,33.63669953,-84.42786394
LAX,32427115,LOS ANGELES INTL,33.9424955,-118.4080684
ORD,32278906,CHICAGO O'HARE INTL,41.97933333,-87.90738889
DFW,29018883,DALLAS/FORT WORTH INTL,32.89682806,-97.03799583
DEN,25497348,DENVER INTL,39.86166667,-104.6731667
JFK,25036855,JOHN F KENNEDY INTL,40.63975111,-73.77892556
SFO,21706567,SAN FRANCISCO INTL,37.61910503,-122.3752372
CLT,21347428,CHARLOTTE/DOUGLAS INTL,35.21374067,-80.94906903
LAS,19923594,MC CARRAN INTL,36.08005556,-115.15225
PHX,19525829,PHOENIX SKY HARBOR INTL,33.43427778,-112.0115833
MIA,19422275,MIAMI INTL,25.79536111,-80.29011111
IAH,18953519,GEORGE BUSH INTERCONTINENTAL/HOUSTON,29.98444444,-95.34144444
EWR,17514139,NEWARK LIBERTY INTL,40.69247983,-74.16868678
MCO,16885160,ORLANDO INTL,28.42938889,-81.309
SEA,16690295,SEATTLE-TACOMA INTL,47.44988889,-122.3117778
MSP,16282038,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,44.88197222,-93.22177778
DTW,15683787,DETROIT METROPOLITAN WAYNE COUNTY,42.21241667,-83.35338889
BOS,14721693,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36297222,-71.00641667
PHL,14705014,PHILADELPHIA INTL,39.87224944,-75.24086583
LGA,13353365,LA GUARDIA,40.77725,-73.87261111
FLL,11509361,FORT LAUDERDALE/HOLLYWOOD INTL,26.07259619,-80.15274144
BWI,11134130,BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL,39.17536111,-76.66833333
IAD,10575366,WASHINGTON DULLES INTL,38.94744444,-77.45994444
MDW,9919985,CHICAGO MIDWAY INTL,41.78597222,-87.75241667
DCA,9811796,RONALD REAGAN WASHINGTON NATIONAL,38.85191631,-77.03769894
SLC,9669234,SALT LAKE CITY INTL,40.78838778,-111.9777731
HNL,9466995,HONOLULU INTL,21.3178275,-157.9202631
SAN,8876777,SAN DIEGO INTL,32.73355556,-117.1896667
TPA,8268207,TAMPA INTL,27.97547222,-82.53325
PDX,7453098,PORTLAND INTL,45.58870886,-122.5968694
